param1_alpha1,param2_alpha2,param3_alpha3,custo_total,maior_autovalor_abs
0.8,-1.0,-0.8,16.139595876793127,0.9491860870865353
0.8,-1.0,-0.6,16.139601215265873,0.9491860870865353
0.8,-1.0,-0.3999999999999999,16.13960649625335,0.9491860870865353
0.8,-1.0,-0.19999999999999996,16.139611719394054,0.9491860870865353
0.8,-1.0,0.0,16.13961688432853,0.9491860870865353
0.8,-1.0,0.20000000000000018,16.139621990699506,0.9491860870865353
0.8,-1.0,0.40000000000000013,16.139627038151833,0.9491860870865353
0.8,-1.0,0.6000000000000001,16.139632026332638,0.9491860870865353
0.8,-1.0,0.8,16.139636954891195,0.9491860870865353
0.8,-1.0,1.0,16.139641823478964,0.9491860870865353
1.0,0.0,-1.0,16.139871015129586,0.9491860870865353
1.0,0.0,-0.8,16.139875452528674,0.9491860870865353
1.0,0.0,-0.6,16.13987983162605,0.9491860870865353
1.0,0.0,-0.3999999999999999,16.139884152075364,0.9491860870865353
1.0,0.0,-0.19999999999999996,16.139888413532653,0.9491860870865353
1.0,0.0,0.0,16.139892615656002,0.9491860870865353
1.0,0.0,0.20000000000000018,16.139896758105667,0.9491860870865353
1.0,0.0,0.40000000000000013,16.139900840544136,0.9491860870865353
1.0,0.0,0.6000000000000001,16.139904862636087,0.9491860870865353
1.0,0.0,0.8,16.139908824048575,0.9491860870865353
1.0,0.0,1.0,16.139912724450713,0.9491860870865353
0.8,-0.8,-1.0,16.14002201676007,0.9491860870865353
0.8,-0.8,-0.8,16.140027322094,0.9491860870865353
0.8,-0.8,-0.6,16.140032570031412,0.9491860870865353
0.8,-0.8,-0.3999999999999999,16.140037760210827,0.9491860870865353
0.8,-0.8,-0.19999999999999996,16.14004289227284,0.9491860870865353
0.8,-0.8,0.0,16.14004796586012,0.9491860870865353
0.8,-0.8,0.20000000000000018,16.14005298061756,0.9491860870865353
0.8,-0.8,0.40000000000000013,16.14005793619212,0.9491860870865353
0.8,-0.8,0.6000000000000001,16.14006283223308,0.9491860870865353
0.8,-0.8,0.8,16.140067668391865,0.9491860870865353
0.8,-0.8,1.0,16.140072444322104,0.9491860870865353
1.0,0.20000000000000018,-1.0,16.14031034950591,0.9491860870865353
1.0,0.20000000000000018,-0.8,16.140314694604463,0.9491860870865353
